ids,lon,lat,30yr_separation(km/day),30yr_separation(km/km)
115430686,-68.549018018251189,42.150599794484684,17.68,0.37
115430686,-68.53384331994306,42.0133251166435,11.36,0.25
116420708,-69.736895139474768,42.647581223967265,2.50,0.13
116420708,-69.643559975626488,42.615764124170418,6.44,0.28
116420708,-69.475327764502964,42.627784757560974,8.54,0.40
116420708,-69.497185961886558,42.681304515071112,12.13,0.41
116440672,-69.993484816842582,42.995483640034422,15.40,0.59
116440672,-69.849924468885376,42.901521346330867,8.04,0.33
116440672,-69.779315477307691,42.836672341545345,5.85,0.20
116440672,-69.853200150768515,42.808471406533855,4.86,0.44
116440672,-69.82694922314144,42.75605116755429,3.35,0.19
116440672,-69.80227334066133,42.685779919893832,8.51,0.47
117440673,-68.859750793616172,42.987551535452667,13.85,0.57
117440673,-68.906041748939828,42.891068380156845,23.66,0.89
117440673,-68.684659346605898,42.813984547170072,2.14,0.10
117440673,-68.625227665293906,42.783721687841101,5.40,0.29
118440677,-68.764887159036093,42.9803108063414,16.96,0.69
118440677,-68.662753767941595,42.802078875863153,18.02,0.57
118440677,-68.880587301244489,42.654814766881891,10.19,0.31
118440677,-68.884954650115617,42.578342605963549,20.45,0.56
118440677,-68.578785303762217,42.612648409267152,3.87,0.15
118440677,-68.45556213365704,42.620935119989639,25.00,0.83
118440677,-68.444081823368791,42.783824466264349,7.28,0.39
118440677,-68.473436239874474,42.851482547420183,3.98,0.15
118440677,-68.34167558708296,42.837377528166357,16.96,0.42
118440677,-68.177486934800399,42.844603669324286,27.46,0.85
118440677,-67.916875793880521,42.752017962056833,9.51,0.31
118440677,-68.456076294139862,42.279654392027133,8.37,0.18
118440677,-68.49925322356502,42.42039055467923,22.70,0.62
137410702,-69.900309321061471,41.946464094541298,2.58,0.09
137410702,-69.769979981613716,41.779697031571644,2.45,0.12
137410702,-69.693567073150106,41.746146745153602,8.81,0.38
137410702,-69.475267185623366,41.594469890972029,7.43,0.22
137410702,-69.439954449432534,41.548396502061436,11.61,0.30
137410702,-69.33236242339305,41.537101142235123,22.37,0.82
137410702,-68.599943123443225,41.250197889170607,27.98,0.47
137410702,-68.379777562014937,41.396765867496129,16.25,0.29
137410702,-66.955872290851985,41.869537805896222,3.49,0.05
137410702,-66.947782452021443,41.82013158419565,9.61,0.15
137410702,-66.959981717001881,41.855736031763996,8.89,0.13
137410702,-66.983756444567192,41.848059118371658,8.86,0.12
137410702,-66.943949136130016,41.781744629584388,17.37,0.22
137410702,-66.934572679178601,41.760563155068049,10.09,0.12
138410701,-69.975799281646928,41.44126191614469,12.28,0.23
138410701,-69.783448711998105,41.256119208047238,13.50,0.27
138410701,-69.751265958452777,41.253843437220269,22.05,0.36
138410701,-69.728786902517371,41.250566079321061,19.96,0.31
138410701,-69.689958067852118,41.259217731240824,3.01,0.04
138410701,-69.650195640696538,41.241144368949634,9.40,0.14
138410701,-69.627975496886378,41.234720231988142,20.22,0.29
138410701,-69.483056059214817,41.220780842824546,9.08,0.14
138410701,-69.353958986655712,41.067212790852409,15.24,0.25
138410701,-69.108620586489863,41.137091318146865,29.55,0.62
138410701,-68.826675859517081,41.263846345875756,35.64,0.86
138410701,-68.768170163596878,41.497339708999199,8.05,0.18
138410701,-68.7392483912854,41.549529898053848,10.99,0.36
138410701,-68.668987146690853,41.638266997356887,20.46,0.86
138410701,-68.610406213554612,41.769430120768988,14.09,0.75
138410701,-68.535750550445201,41.825853390258274,13.45,0.63
138410701,-68.372755778574145,41.889729901850735,19.00,0.79
138410701,-68.282889875944676,42.022278543625426,9.69,0.74
138410701,-68.293552115357613,42.020915764006013,8.57,0.48
138410701,-68.401824116771152,42.041086106818732,10.14,0.43
138410701,-68.453343347041937,42.027186669679168,2.63,0.17
138410701,-68.471033350741209,42.010768357227725,1.49,0.10
138410701,-68.926507306733853,42.327468533054031,6.12,0.29
138410701,-68.877314644991728,42.292556119905576,5.19,0.25
138410701,-68.835721538926251,42.237271729749928,5.71,0.31
138410701,-68.853243229743825,42.252302668787998,5.56,0.34
146430701,-69.989822093618471,42.686142210027306,9.77,0.42
146430701,-69.940449033883894,42.678665330975896,12.86,0.78
146430703,-69.317367393965398,42.686990648151621,8.30,0.38
146430703,-69.298809168279917,42.731692024721561,1.42,0.05
146430703,-69.038071104418108,42.819046353257036,6.88,0.18
146430703,-68.989666495744075,42.762216348701742,6.08,0.17
146430703,-68.978988275568213,42.674162272891202,5.11,0.10
146430703,-68.863066301740005,42.683473072273827,4.70,0.14
146430703,-68.74661910452096,42.695644049231447,1.89,0.09
1484207010,-69.747026198493401,42.259248460065123,15.94,1.12
1484207010,-69.715713274151241,42.210883764481487,9.95,0.41
148420703,-68.874346169814018,42.988175241791204,2.98,0.09
148420703,-69.026609194475782,42.840777746212304,7.23,0.47
148420703,-68.90622184720813,42.8207581727237,9.78,0.62
148420703,-68.919606482519981,42.758246497579144,7.24,0.24
148420703,-69.040201939790705,42.758444220589752,8.13,0.33
148420703,-69.027774355922418,42.685085731422944,15.46,0.68
148420703,-69.012274935319098,42.693291153573625,9.04,0.47
