ids,lon,lat,30yr_separation(km/day),30yr_separation(km/km)
147420702.0,-69.431890299771325,42.228899676564012,15.23,0.19
147420702.0,-69.410757629855198,42.154518757806102,4.85,0.08
147420702.0,-69.345652289230273,42.151539690576165,8.37,0.12
147420702.0,-69.276903407334373,42.151762676760491,22.87,0.26
147420702.0,-68.894221160450684,42.277795220678946,13.38,0.28
147420702.0,-68.729849321524526,42.339855137512075,23.39,0.45
147420702.0,-68.793112402825386,42.443393476964737,23.02,0.45
147420702.0,-68.788987688747838,42.512225744273898,3.91,0.06
147420702.0,-68.815653616249449,42.338968059017425,9.72,0.16
147420702.0,-68.765715367956048,42.290557062822209,9.29,0.10
147420702.0,-68.372215116898516,42.402242571170859,12.17,0.14
147420702.0,-68.455454490619417,42.347644841104518,9.44,0.15
147420702.0,-68.462188133073212,42.494696918068449,19.60,0.22
147420702.0,-68.28882479275012,42.13103333131145,26.11,0.52
147420702.0,-68.223733408122925,42.062277003220323,52.78,0.60
147420702.0,-67.50549998179919,42.15066336373696,53.04,0.25
147420702.0,-66.767289190141952,41.688529518045918,28.01,0.12
147420702.0,-66.760176066068453,41.644002126804551,27.25,0.12
147420702.0,-66.771145618178195,41.50617013528317,19.67,0.15
147420703.0,-70.30188817253547,42.141939147204553,42.29,0.39
147420703.0,-69.81047982203593,42.270950019864181,14.90,0.19
147420703.0,-69.52589374119998,42.294767407963221,9.94,0.15
147420703.0,-69.418595282097797,42.330358354394136,12.06,0.26
147420703.0,-69.415297381489296,42.371207230835886,16.14,0.19
147420703.0,-68.788092018565308,42.449641730784748,17.47,0.24
147420704.0,-69.82376680822199,42.152692114948884,24.15,0.33
147420704.0,-69.614979024146152,42.087304893284148,23.27,0.31
147420704.0,-69.689218438347694,41.885650239596266,53.84,0.77
147420705.0,-70.281874063453856,42.114336910925985,24.38,0.22
147420705.0,-69.805496729219342,42.106821579127363,37.85,0.48
147420705.0,-69.625656950420876,42.051773133017086,29.14,0.36
147420705.0,-66.581553024487278,41.496786806797154,33.45,0.26
147420706.0,-70.299682859526129,42.119302189753711,49.96,0.38
147420706.0,-69.777077423902597,42.155776702122019,21.05,0.31
147420706.0,-69.638217210038007,41.890903936662994,17.32,0.21
147420706.0,-69.69033719977439,41.629953224470093,19.03,0.18
147420706.0,-69.454730221331388,41.615165523999373,20.98,0.12
147420706.0,-69.568484372871211,41.508925376452567,24.80,0.15
147420706.0,-69.711683298476402,41.554491356829047,39.49,0.26
147420706.0,-69.642642412639603,41.400104386755153,49.29,0.32
147420707.0,-70.223867136438045,42.132336812903375,56.26,0.44
147420707.0,-69.741246403865333,42.174145379868058,18.11,0.26
147420707.0,-69.651846083371893,41.974116806063321,45.57,0.60
147420707.0,-69.89357209099775,41.782217351748258,7.75,0.11
147420707.0,-69.487868933147084,41.681767445197735,33.68,0.33
147420707.0,-69.2271881607804,41.634840409335297,9.83,0.10
147420707.0,-68.833358488885182,41.584693098690792,6.68,0.08
147420707.0,-68.736738561320323,41.565458490515915,48.26,0.46
147420707.0,-68.303047184368467,41.705364742332222,23.32,0.11
147420707.0,-67.774321574841778,41.688385132174957,82.47,0.32
147420707.0,-67.402297775008947,41.900544801971883,23.81,0.10
